split,motion_id,line_index,caption,tokens,f_tag,to_tag,style_groups,matched_keywords,text_path
train,000001,0,a man squats extraordinarily low then bolts up in an unsatisfactory jump.,a/DET man/NOUN squat/VERB extraordinarily/ADV low/ADJ then/ADV bolt/VERB up/ADP in/ADP an/DET unsatisfactory/ADJ jump/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000002,3,a person jump hop to the right,a/DET person/NOUN jump/NOUN hop/NOUN to/ADP the/DET right/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000027,0,a person punches with their right hand before they do a counterclockwise spin.,a/DET person/NOUN punch/VERB with/ADP their/DET right/ADJ hand/NOUN before/ADP they/PRON do/AUX a/DET counterclockwise/ADJ spin/NOUN,0.0,5.0,Dance expressive,spin,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000031,1,person walks in a circle half-way then starts to run around in the same circle,person/NOUN walk/VERB in/ADP a/DET circle/NOUN halfway/NOUN then/ADV start/VERB to/PART run/VERB around/ADV in/ADP the/DET same/ADJ circle/NOUN,0.0,0.0,Energetic dynamic,run,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000042,1,a person is passing objects from the left to the right initially heavy but then lighter objects.,a/DET person/NOUN is/AUX pass/VERB object/NOUN from/ADP the/DET left/NOUN to/ADP the/DET right/NOUN initially/ADV heavy/ADJ but/CCONJ then/ADV lighter/ADJ object/NOUN,0.0,0.0,Heavy awkward,heavy,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000049,2,he uplift his right hand and moving it fast again and again.,he/PRON uplift/VERB his/DET right/ADJ hand/NOUN and/CCONJ move/VERB it/PRON fast/ADJ again/ADV and/CCONJ again/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000050,1,a person runs forward then stops and bends down then gets back up and run forward again.,a/DET person/NOUN run/VERB forward/ADV then/ADV stop/VERB and/CCONJ bend/VERB down/ADP then/ADV get/VERB back/ADV up/ADV and/CCONJ run/VERB forward/ADV again/ADV,0.0,0.0,Energetic dynamic,run,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000065,1,person looks to be salsa dancing,person/NOUN look/VERB to/PART be/AUX salsa/NOUN dancing/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000065,2,a person with dance moves,a/DET person/NOUN with/ADP dance/NOUN move/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000069,1,a person lifting one leg bent at the knee then the other the same way in a fast running in place motion.,a/DET person/NOUN lift/VERB one/NUM leg/NOUN bent/NOUN at/ADP the/DET knee/NOUN then/ADV the/DET other/ADJ the/DET same/ADJ way/NOUN in/ADP a/DET fast/ADJ running/NOUN in/ADP place/NOUN motion/NOUN,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000071,0,he moved backwards and then start dancing,he/PRON move/VERB backwards/ADV and/CCONJ then/ADV start/VERB dance/VERB,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000082,0,"the man appears to be dancing, in a sort of salsa type of style.",the/DET man/NOUN appear/VERB to/PART be/AUX dance/VERB in/ADP a/DET sort/NOUN of/ADP salsa/ADJ type/NOUN of/ADP style/NOUN,0.0,10.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000082,1,man dancing the salsa alone,man/NOUN dance/VERB the/DET salsa/NOUN alone/ADV,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000082,2,person is doing a salsa dance,person/NOUN is/AUX do/VERB a/DET salsa/NOUN dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
